,DZQV_CD8_naive,DZQV_CD8_CM,DZQV_CD8_EM,DZQV_CD8_TE,DZQV_MAIT,DZQV_VD2,DZQV_VD21,DZQV_TFH,DZQV_Treg,DZQV_Th1,DZQV_Th1Th17,DZQV_Th17,DZQV_Th2,DZQV_CD4_naive,DZQV_Progenitor,DZQV_B_naive,DZQV_B_NSM,DZQV_B_Ex,DZQV_B_SM,DZQV_Plasmablasts,DZQV_C_mono,DZQV_I_mono,DZQV_NC_mono,DZQV_NK,DZQV_pDC,DZQV_mDC,DZQV_Neutrophils,DZQV_Basophils,X925L_CD8_naive,X925L_CD8_CM,X925L_CD8_EM,X925L_CD8_TE,X925L_MAIT,X925L_VD2,X925L_VD21,X925L_TFH,X925L_Treg,X925L_Th1,X925L_Th1Th17,X925L_Th17,X925L_Th2,X925L_CD4_naive,X925L_CD4_TE,X925L_Progenitor,X925L_B_naive,X925L_B_NSM,X925L_B_Ex,X925L_B_SM,X925L_Plasmablasts,X925L_C_mono,X925L_I_mono,X925L_NC_mono,X925L_NK,X925L_pDC,X925L_mDC,X925L_Neutrophils,X925L_Basophils,X9JD4_CD8_naive,X9JD4_CD8_CM,X9JD4_CD8_EM,X9JD4_CD8_TE,X9JD4_MAIT,X9JD4_VD2,X9JD4_VD21,X9JD4_TFH,X9JD4_Treg,X9JD4_Th1,X9JD4_Th1Th17,X9JD4_Th17,X9JD4_Th2,X9JD4_CD4_naive,X9JD4_CD4_TE,X9JD4_Progenitor,X9JD4_B_naive,X9JD4_B_NSM,X9JD4_B_Ex,X9JD4_B_SM,X9JD4_Plasmablasts,X9JD4_C_mono,X9JD4_I_mono,X9JD4_NC_mono,X9JD4_NK,X9JD4_pDC,X9JD4_mDC,X9JD4_Neutrophils,X9JD4_Basophils,G4YW_CD8_naive,G4YW_CD8_CM,G4YW_CD8_EM,CYFZ_PBMC,FY2H_PBMC,FLWA_PBMC,X453W_PBMC,X684C_PBMC,CZJE_PBMC,G4YW_CD8_TE,G4YW_MAIT,G4YW_VD2,G4YW_VD21,G4YW_TFH,G4YW_Treg,G4YW_Th1,G4YW_Th1Th17,G4YW_Th17,G4YW_Th2,G4YW_CD4_naive,G4YW_Progenitor,G4YW_B_naive,G4YW_B_NSM,G4YW_B_Ex,G4YW_B_SM,G4YW_Plasmablasts,G4YW_C_mono,G4YW_I_mono,G4YW_NC_mono,G4YW_NK,G4YW_pDC,G4YW_mDC,G4YW_Neutrophils,G4YW_Basophils,DZQV_PBMC,X925L_PBMC,X9JD4_PBMC,G4YW_PBMC,X4DUY_PBMC,X36TS_PBMC,CR3L_PBMC
NMF_0,0.9520176297994142,0.9753434958648873,1.0006483125489252,0.8638606135132728,0.9740221930111663,0.8743781739357795,0.9523042334338018,1.0215384591409422,1.0252998133324103,0.9962540679472479,0.9958805768704722,0.9897506430162042,1.0410753816065637,0.9355788496832259,0.9813739149023122,0.9621743877589367,0.9419367842567576,0.9360442226327166,0.8763802149970563,0.808656770009071,1.1830692156570128,1.1554541591513003,1.2001651663101234,1.0242002745005028,1.0215629822832613,0.9720883784587122,1.5518715643589538,1.1382559454202916,0.890038458623036,0.8569416838049491,0.8803932885736478,0.8855375600434175,0.8744612230479059,0.8806285669275502,0.8787679775180948,0.8820960106908224,0.9000056607280371,0.9162990375296015,0.9635601118372837,0.9541963113885574,0.8867624916565704,0.9035899610926285,0.9011548045367338,0.8740294874654431,0.7916129613409668,0.7885268041104936,0.7366227474174253,0.8085446587636151,0.7353807852133589,0.8304633190898495,0.8478561274457638,0.8588316189768134,0.9177463440131584,0.8269298218453166,0.7172762060667195,0.8868178548900802,0.8895429858681632,0.883630420419145,0.932459405750704,0.9383548847607722,0.898597916645064,0.8867545633765782,0.9314203342037998,0.8835519825797817,0.9736915816726953,0.9774530901561509,0.9680122886744031,0.9299844949275227,0.9426614221167087,0.9668137164717721,0.9591450706155221,0.9121284788434441,0.8911911555855748,0.8329103624710635,0.8480575532459855,0.7820451864183909,0.8283211338167857,0.7762904070958206,0.9630855997600655,1.0071655297262123,1.0245367619632721,0.9317752781255888,0.9564093509525591,0.8088506401330829,1.175054646406899,0.9772279922449922,0.8628303994888674,0.8870097279270307,0.9343528311233651,0.8177386882358161,0.9528358599275593,0.8332220547908574,0.8518264184411685,0.8825077209541601,0.7857479795447458,0.8459707795642477,0.8406138753576374,0.8138478524419799,0.8180539972486924,0.9039207198590631,0.895061229939391,0.8900193619809403,0.8986018486000887,0.9199675197821338,0.9161896971448932,0.8822970841150501,0.8699716334122737,0.7887433944478687,0.8093284542426291,0.782122702841163,0.7935907047050821,0.7677149483022845,0.9523535766026829,0.9205437571217393,0.959336733682561,0.8886832405565208,0.9296236535831601,0.8268996111642506,1.261110590443451,0.9517851069498391,1.0188343129216644,0.7937884320953966,0.8445411489153887,0.8510486582586891,0.841844804933451,0.7521978833553903,0.8084010788350346
NMF_1,0.6789574664613662,0.6798788938718164,0.6800745593870433,0.6320644197580411,0.6841010477948929,0.6251027891526499,0.6704609966569148,0.639955705016095,0.6448191027045653,0.6600388920955864,0.6234028326539856,0.6276047444152828,0.6216548560893268,0.6269119716315821,1.0040559023885864,0.8139349633517444,0.8789824771585983,0.8135444069322294,0.7850454645825877,0.7145272879619958,0.8761432120003891,0.7433257715275887,0.7593027174120834,0.7136155662689841,1.383381526036523,1.6058800395641344,0.4934878423065495,1.014543618655339,0.7103411883460186,0.6757268771744567,0.6881289601201366,0.6923531064509506,0.6733176910351826,0.6764616126423043,0.7044852821181433,0.5962906905531977,0.6310577743670949,0.6675931962991356,0.697218026957579,0.6933561411486407,0.6430834867991365,0.6755130278815638,0.7043439652000995,0.9894759680587868,0.8023691224577746,0.8452636972799427,0.7415177079181484,0.8138083455975075,0.7172993362079007,0.9816994327085488,0.7731971971676247,0.832654368318707,0.7364652646519055,1.4961204560066246,1.6396605375326667,0.5820561529225703,1.096351565685323,0.661850499460926,0.6678167323370141,0.6788312489607254,0.6738460005604112,0.6569681548692297,0.680940541956746,0.6761697399869063,0.6563183484242469,0.6522464447462076,0.6438900621329071,0.6471886724531863,0.6714691058406596,0.6515933327292237,0.67301446750744,0.6663999411400543,1.0067346711411176,0.7611791043636856,0.8156675690197558,0.7621826091004898,0.780726632247984,0.7290079998572309,0.8565177612766014,0.7904963649882168,0.7178465743172924,0.6877533089649962,1.3995251506380082,1.5736481191095446,0.542032755191454,1.045256903996962,0.6852112297433017,0.6552114300399712,0.7087909305017476,0.8100704790308544,0.7663360411238518,0.7837064230251899,0.7551694241212693,0.7919123291381209,0.8442241386044318,0.6716527469668716,0.6570551734947802,0.6372161674484229,0.6555316608305369,0.6235960810084961,0.6286599559182448,0.6312752344087401,0.6421969958442996,0.6657743975702264,0.6353842606779811,0.6484759300535327,0.9832834046394068,0.6991987267254791,0.7925399317035995,0.7407180262744827,0.7579429790355975,0.7192247961005348,0.8228601998499928,0.7405776264418511,0.6889518237962888,0.6920436088883413,1.3964369829564787,1.58479524084753,0.5071200589126513,1.0533903160830074,0.7585928080960108,0.815801775049806,0.7441284600171183,0.6944779678958307,0.7319272371605617,0.7966267261840002,0.8076658916711653
NMF_2,1.0837373285190495,0.8867384835017301,0.6789733250426303,0.6385083011818515,0.7027949246243419,0.6148198580074121,0.6580422830688987,0.9518646521919263,0.945225098135779,0.9648325810311206,0.823528928794693,0.8674515859703222,0.9192271300577695,1.0468011670566355,0.7474027629559468,0.5316987620822551,0.5548407823478074,0.5685092349874529,0.5744472662103672,0.534793166736563,0.49564891278480633,0.4707215789117149,0.5099308482773425,0.6512311376141999,0.5673488062178584,0.5135030832368171,0.48530440128266106,0.628717683462808,1.0519029005438256,0.894784133812137,0.6828520698090018,0.6767261015702475,0.7018543225561141,0.7289312033638,0.6902708312923629,0.9457955156919219,0.926764128238214,0.8771575945245286,0.8620299890656506,0.8968104356762552,0.9647462919259734,1.0826627606594155,0.6998646648336677,0.7260539898841315,0.6090470297978684,0.5567727003937835,0.5746451547701704,0.6131346950576847,0.5299517319306534,0.5385048932321636,0.5253819939613767,0.5447452272235624,0.6742361056677035,0.5475208462474223,0.5271081047753191,0.5232098056869567,0.6548957568977306,1.0925082773086878,0.8801983140242277,0.7002821261605102,0.6738859703675301,0.7145150756604571,0.7377020132566553,0.6578927888780473,0.9666040178530102,0.9389070934657012,0.897183469737294,0.8568462876781366,0.8798635256925537,0.931674838011602,1.0965095317426035,0.7578734940881697,0.7457773661414739,0.6029074504287986,0.5872216720925781,0.5829749518863215,0.5948220117442026,0.5365745934198334,0.5764139804264558,0.5460927915135515,0.5493276794028986,0.669553643631358,0.5751922108108009,0.5495084988624364,0.537126216075509,0.6396914884729932,1.065753530792914,0.8827552055054925,0.7048913382234063,0.5841351326269079,0.5457350966465446,0.5994525181135171,0.6139617691625293,0.624649145334096,0.6162105449140003,0.6804640893639206,0.690467761998547,0.7212581378856215,0.6649173137746482,0.9412601223616797,0.9267286711431671,0.9011714194932015,0.8218648035189978,0.8315362642926782,0.9181705580436775,1.079226708424943,0.7182756436704612,0.5951962811462927,0.5618748641321255,0.539696727509964,0.5520745604890531,0.5359845980336391,0.5643549548867621,0.53490406917515,0.5488548128393538,0.6608516165259369,0.5553588589804852,0.5307919942828403,0.5241503803221307,0.6319054621188598,0.5991548580689879,0.6044200266145141,0.6551263015280275,0.6487165303459821,0.6633259856021184,0.5714866511045896,0.6247814692972568
NMF_3,0.3073183929224763,0.3153643901286484,0.32633102392654945,0.3385838822862282,0.26299294347972024,0.3394784084129783,0.33118529551745474,0.282630039222439,0.2817016781564723,0.2878916512567272,0.2731494924319085,0.26926558718373983,0.2699764302639985,0.29280536884726566,0.37349834282394395,1.0682589635685789,0.8899706852968894,0.8708944094830979,0.8405218056022524,0.3083835253401925,0.3962096571797556,0.3852221659310106,0.37808873409624477,0.34596215696727173,0.5473158893255275,0.5509967910848987,0.24948325980621727,0.30015482661763615,0.2761557387454462,0.27721931388997123,0.33382509380648406,0.34054506057102674,0.2957966343438532,0.32718577872903937,0.30324827707297325,0.27547190684857725,0.3012289224871739,0.26425752803855146,0.2513998879946552,0.2654556890577338,0.29288445515389067,0.2808096911368142,0.279483722804856,0.3997824000112578,1.0296044238131643,0.9433064497520646,0.8608490400707215,0.8419368509347737,0.3240160136460483,0.45220480493964765,0.4022643894537918,0.4093734944144134,0.3110468361423564,0.5894036884512848,0.5609287855651456,0.2510523432334945,0.31734917620841796,0.290359571649604,0.2751773230758854,0.3037828717885265,0.30728533867104985,0.27011882963365724,0.29450596653056893,0.3518963642324568,0.260019852079142,0.275498145427959,0.26929723432093045,0.25908482877425315,0.240042183886385,0.2659630839269787,0.27027894278540493,0.30976468951201735,0.36730602096578086,1.1108612221955367,0.809611840996579,0.8282389970157004,0.8004540699979222,0.30948853131131304,0.4233516990459289,0.48122606560412545,0.44642454235163986,0.3263629365951359,0.5449497923500666,0.5751246872440364,0.27749948293613935,0.30166039508260584,0.28830322194259206,0.3151175681426228,0.33026343339310216,0.4932797878894023,0.4840431452876125,0.45190881955553874,0.40346087449213264,0.5071979506427022,0.539133508499093,0.34318872795438266,0.2824643327374137,0.3321933805255076,0.3421710135493381,0.2662846888882214,0.30188167856372816,0.30148660529568466,0.2857167124971876,0.2606825346862836,0.28362084981061764,0.2807485446324178,0.421672340241118,1.1295037493977085,0.8651684488750371,0.8241387602419948,0.8599613783319227,0.30170232375600003,0.3997350521568654,0.4570415646955395,0.40161380714436806,0.32617947572569694,0.536034739474342,0.5490932321393424,0.27564510566617817,0.3131465696796197,0.4953085132521719,0.5651822977079496,0.47450397734625793,0.4770219548332934,0.4586912657645249,0.4653048792674022,0.5225180351358266
NMF_4,0.3278303397565319,0.34689676566205513,0.3585855666501535,0.3357905092817849,0.3507754352102192,0.30020038199225596,0.31636746630649565,0.36204657190238015,0.3854634794553123,0.36926355616064527,0.37679915227610167,0.39122143571914203,0.3901153209390959,0.35636840230690875,0.431186457911586,0.5515888592240517,0.7363679789878833,0.6800305944810896,0.7231772332722693,0.48693563955283714,0.32248131866508045,0.3051893200906433,0.32100919515542076,0.3175925572548945,0.6007176147631054,0.36988122017075004,0.32266274077359486,0.41338974157229286,0.36399014730038576,0.3811447347673881,0.358746498021192,0.3341576594202602,0.33837257536717963,0.3430798687550635,0.34465552980185593,0.3874215577905531,0.3917632856468274,0.3944670761591558,0.3812334849729899,0.3653081988406034,0.37378604405283516,0.36828290884061426,0.3710975454642347,0.4451517698062417,0.6094442913521557,0.7654424376313994,0.6549110235669069,0.7310121131618079,0.4888889052635125,0.32937689584568375,0.32043238989663336,0.34575396229232347,0.33924178791424725,0.5973404346591595,0.3496039930697311,0.3333806740544367,0.3921317645415571,0.3609007492551167,0.3828212211227613,0.36164171683458274,0.34210074366676646,0.3582105452474788,0.34575237242649054,0.32244588745098096,0.39777149378456306,0.39338681145449633,0.3876992834845255,0.385160290834912,0.40398477846808106,0.40644164601658667,0.3688093832605292,0.34477150252800803,0.4463380977696614,0.6234269593533064,0.8108193615232617,0.72111061096955,0.7776789814602089,0.48668614863621323,0.3398978315288234,0.31284578767450955,0.3380461980615437,0.32416593546331335,0.6149735266574339,0.3799574721485999,0.3443780801351651,0.41207863023616886,0.3498565502258404,0.36200839156727044,0.3351533088214575,0.3364978050060761,0.32339972549127344,0.35988638719784494,0.36094754559098313,0.3687902158988577,0.3647114852377547,0.3239468048392926,0.34141693444130766,0.3367875785947862,0.3368153791696588,0.3966356206659265,0.3868702700628558,0.36925969493302135,0.35679848827204597,0.3620776416736553,0.38297288866195545,0.36180480128722536,0.46965920629314445,0.5909750460727285,0.805048677388019,0.668333323327542,0.7337100863827117,0.4748534238801171,0.34483912007108974,0.32696155595733606,0.3464079068718081,0.3248875191816375,0.6254349069994951,0.36888348372505864,0.34287272149934783,0.3907680631918811,0.3824363632474185,0.3837279279681354,0.37714527241087265,0.38337950047177743,0.3643941194054155,0.34373190533724857,0.3792098833411333
NMF_5,0.6748042375473771,0.6745738299574174,0.6024785307846732,0.5553833083313303,0.6460413004010307,0.6081144834606265,0.5838547035258499,0.6266480354174887,0.6307058142907978,0.6438449374007157,0.6262575488882847,0.6194615398726311,0.6359405736088736,0.6258127818730661,0.6441945540471579,0.5008006904953268,0.5133916958145212,0.5263588337082584,0.5161953486102968,0.46639658978135934,0.4757868234177642,0.43316801771143026,0.46606622205125714,0.6213978118800764,0.5547829468974288,0.48481929244268357,0.4461247955263954,0.603918763191709,0.6497467696668242,0.6597928808875727,0.5913048220075224,0.5983812431748059,0.6517168664749888,0.6925142827595305,0.6302557560567339,0.5877436811074943,0.6084293633031105,0.6192723139198197,0.6381304600460183,0.6190274271356345,0.6308882193241773,0.6451814049657518,0.6047325693065755,0.6536850327924951,0.5381126010479451,0.5019506743268253,0.4936270114268091,0.5481931432066378,0.4663147833223063,0.484745982070427,0.46931893171950767,0.4841307915130539,0.6271650411140071,0.4975728841367737,0.49729480552002664,0.4864332970182629,0.6141974627330261,0.6750558475783079,0.6547232830968676,0.5941101115108044,0.5936613835048701,0.6421701209595031,0.6562066790703965,0.5901466037639013,0.6309323215858197,0.6356717529306233,0.6353051549104132,0.6380383840163946,0.634286135888442,0.6443817345478624,0.668007454161099,0.6005787512839329,0.6516443146561263,0.5563963316866085,0.5382707538435705,0.5171827232287363,0.5478156831667552,0.47447791936294326,0.5183669191347311,0.4871691891089696,0.5033697429214293,0.6359676408377875,0.5409614302113059,0.5098521854085386,0.5056863352812773,0.6099004370850696,0.6709779950461828,0.6364973115552355,0.6228206521675033,0.48056980814986616,0.48295439290823916,0.5068661008030598,0.5278648363285509,0.5173253942167428,0.5096172824073995,0.5938609014158547,0.6356093318195485,0.6404277939436193,0.5713039416985338,0.618383301944119,0.6127080105596158,0.6086565885731878,0.6168767526988426,0.6349254090974197,0.619788097627697,0.637593044223183,0.634395115028275,0.524410962367317,0.5069707479011658,0.4897994684006333,0.5032708971263501,0.4761109659262052,0.506486437803422,0.47207471044970706,0.4906939686156361,0.6076240972978318,0.5311077324711929,0.5026901558379947,0.4943699995827487,0.604508373714736,0.47114264149262924,0.48342903482750044,0.5015517050140099,0.499152732733891,0.5121252343511665,0.49014488567833936,0.5159513073659635
